pygobject-devel 3.24.1-1
python 3.6.2-1
python-dbus-common 1.2.4-2
python-docutils 0.14-1
python2 2.7.13-4
python2-cairo 1.13.3-1
python2-dbus 1.2.4-2
python2-gobject 3.24.1-1
python2-psutil 5.2.2-2
randrproto 1.5.0-1
ranger 1.8.1-1
readline 7.0.003-1
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rofi 1.3.1-2
rtkit 0.11+6+g417bb7d-1
s-nail 14.9.3-1
schroedinger 1.0.11-3
screenfetch 3.8.0-2
sdl2 2.0.5-4
sed 4.4-1
shadow 4.5-2
shared-mime-info 1.8-1
sound-theme-freedesktop 0.8-2
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.20.0-1
stalonetray 0.8.3-1
startup-notification 0.12-5
sudo 1.8.20.p2-1
sysfsutils 2.1.0-9
systemd 234.11-8
systemd-sysvcompat 234.11-8
tar 1.29-2
tdb 1.3.12-1
terminator 1.91-5
termite 12-2
termite-terminfo 12-2
texinfo 6.4-1
thin-provisioning-tools 0.7.0-1
thunar 1.6.12-1
thunar-volman 0.8.1-2
ttf-bitstream-vera 1.10-11
tzdata 2017b-1
udisks2 2.7.2-1
unzip 6.0-12
usbutils 008-1
util-linux 2.30.1-2
v4l-utils 1.12.5-1
vi 1:070224-2
vid.stab 1.1-1
videoproto 2.3.3-1
vim 8.0.0851-1
vim-runtime 8.0.0851-1
virtualgl 2.5.2-2
volume_key 0.3.9-3
vte-common 0.48.3-1
vte3-ng 0.48.3.a-1
wayland 1.14.0-1
wayland-protocols 1.10-1
webrtc-audio-processing 0.3-2
which 2.21-2
wireless_tools 30.pre9-1
wmname 0.1-3
wpa_supplicant 1:2.6-8
x265 2.5-1
xbindkeys 1.8.6-2
xcb-proto 1.12-3
xcb-util 0.4.0-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xdg-utils 1.1.2-1
xextproto 7.3.0-1
xf86-input-libinput 0.25.1-1
xf86-video-intel 1:2.99.917+779+g2100efa1-2
xf86dgaproto 2.1-3
xf86vidmodeproto 2.3.1-3
xfconf 4.12.1-2
xfsprogs 4.12.0-1
xineramaproto 1.2.1-3
xkeyboard-config 2.21-2
xmobar 0.24.5-4
xmonad 0.13-5
xmonad-contrib 0.13-4
xorg-bdftopcf 1.0.5-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-misc 1.0.3-5
xorg-iceauth 1.0.7-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.2-1
xorg-server 1.19.3-3
xorg-server-common 1.19.3-3
xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-1
xorg-smproxy 1.0.6-1
xorg-twm 1.0.9-1
xorg-x11perf 1.6.0-1
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.1-1
xorg-xclock 1.0.7-1
xorg-xcmsdb 1.0.5-1
xorg-xcursorgen 1.0.6-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.5-2
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.3.4-4
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.4.0-1
xorg-xkbevd 1.1.4-1
xorg-xkbutils 1.0.4-2
xorg-xkill 1.0.4-1
xorg-xlsatoms 1.1.2-1
